HSA #,HSA name,State,Medicare enrollees (2014),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)"
11103,Smyrna,GA,4122,8914.75,9352.05,3504.46,3902.03,2907.61,2910.69,1314.1,1338.17,401.17,408.07,558.09,550.68,233.02,245.6
11104,Snellville,GA,6650,9215.73,9578.3,3656.11,4040.39,2843.66,2778.64,1330.6,1355.96,520.13,530.57,677.01,669.22,203.94,221.41
11105,Sparta,GA,693,7748.53,8490.62,3569.25,4074.62,2226.18,2290.39,1180.2,1295.12,310.76,338.39,285.52,336.85,187.42,167.2
11107,St. Marys,GA,3127,9444.1,9507.18,4025.45,3762.86,2891.37,2986.79,1576.89,1735.1,329.49,370.41,365.6,406.91,211.76,194.87
11108,Statesboro,GA,4665,9226.21,10257.23,3711.73,4370.31,2937.96,3088.68,1430.36,1592.2,390.12,438.09,575.88,613.01,204.12,182.39
11109,Stockbridge,GA,12579,8314.85,8633.16,2856.12,3161.74,2874.02,2854.56,1330.16,1350.6,386.56,391.54,776.88,761.95,170.32,185.45
11111,Swainsboro,GA,1460,9196.98,10121.41,3828.22,4332.65,2349.03,2463.94,1657.58,1830.31,375.48,421.11,763.64,875.15,256.97,236.52
11112,Sylvania,GA,1336,7888.84,8696.02,3209.54,3631.08,1940.86,2042.95,1703.94,1895.89,303.61,334.75,587.48,656.09,151.5,134.84
11114,Thomaston,GA,4125,8579.13,9325.2,3668.1,4181.84,2290.08,2362.95,1331.72,1447.8,504.64,530.29,595.69,631.86,207.68,190.12
11115,Thomasville,GA,6098,8653.35,9890.09,3597.99,4394.81,2454.95,2568.19,1858.84,2104.96,254.85,287.1,302.97,361.7,190.73,173.72
11116,Thomson,GA,1425,8609.65,9232.34,3264.2,3707.6,2704.13,2746.18,1542.08,1594.27,337.52,349.33,591.83,645.66,199.7,218.94
11117,Tifton,GA,5206,8635.44,9779.34,3153.49,3849.72,2402.07,2466.71,1765.19,1998.48,482.55,548.12,558.69,672,281.68,259.18
11118,Toccoa,GA,3806,9276.4,10286.48,3784.17,4432.71,2635.32,2730.13,1342.65,1469.84,842.82,945.45,423.14,494.43,263.04,240.04
11119,Valdosta,GA,9087,8294.58,9525.32,2981.89,3768.3,2667.8,2781.88,1351.26,1530.38,519.05,588.43,575.36,684.44,235.13,211.56
11120,Vidalia,GA,3592,9007.67,9961.75,3822.06,4413.46,2360.53,2488.08,1479.64,1664,319.1,361.75,891.35,915.73,188.07,172.06
11121,Vienna,GA,671,8010.8,8850.72,3057.98,3607.94,2272.5,2351.01,1744.54,1930.37,276.14,312.94,399.73,396.25,264.13,243.2
11122,Villa Rica,GA,2509,9005.77,9556.45,3473.34,3890.36,2710.3,2794.86,1522.15,1546.15,516.62,522.92,568.08,575.63,235.35,250.49
11124,Warner Robins,GA,10408,10000.52,10970.22,4421.25,5153.44,3402.41,3506.94,1198.72,1308.9,347.4,365.78,412.96,438.19,222.94,207.16
11125,Washington,GA,1562,9029.98,10281.56,4127.53,5091.88,2088.07,2122.42,1806.11,1954.44,363.73,409.91,414.07,476.18,217.32,202.07
11126,Waycross,GA,6236,8845.64,9796.42,3481.54,4060.05,2760.29,2890.32,1559.16,1745.94,430.99,490.35,294.6,315.87,310.4,285.66
11127,Waynesboro,GA,1078,8603.18,8964.87,3462.5,3669.03,2334.44,2350.08,1613.38,1667.98,307.98,326.34,854.52,904.23,109.45,123.37
11128,Winder,GA,5700,8970.1,9490.9,3346.83,3738.59,2933.07,2972.19,1364.4,1406.57,499.3,513.17,616.34,656.93,220.66,229.96
12001,Hilo,HI,10361,7278.39,6704.72,3457.31,2945.75,2001.57,1951.11,1321.77,1322.45,83.28,83.49,291.36,297.71,98.06,83.42
12003,Honolulu,HI,53109,7466.69,7383.04,3293.5,3151.64,2110.23,2132.71,1501.23,1543.38,125.89,129.73,368.52,356.59,86.66,89.54
12005,Kailua,HI,3767,8352.39,8084.3,3688.55,3466.65,2401.02,2365.32,1564.39,1573.75,201.5,204.03,406.86,381.34,89.18,91.53
12007,Kealakekua,HI,3276,7456.03,6652.64,3267.15,2511.37,2250.41,2218.7,1158.66,1136.63,180.88,178.97,518.87,528.55,90.84,76.46
12008,Kohala,HI,454,8870.52,8184.32,4510.71,3864.61,1769.81,1768.1,1953.03,1936.63,223.09,224.3,,,109.92,96.55
12010,Lihue,HI,4580,6747.6,6298.71,3020.38,2551.01,1868.96,1883.18,1356.28,1359.66,114.83,115.66,280.52,288.09,92.51,81.21
12012,Wahiawa,HI,2001,7086.04,7104.97,2886.37,2780.7,2118.61,2175.21,1604.75,1660.03,121.04,126.23,250.31,240.19,186.79,182.14
12013,Wailuku,HI,7245,7674.84,6715.72,3554.14,2646.43,2320.91,2265.88,1164.95,1161.44,266.65,269.06,234.84,240.76,103.02,91.47
12014,Waimea,HI,784,7773.33,6858.35,3976.18,3007.73,1430.84,1463.34,2014.47,2074.35,101.03,104.54,148.89,160.67,83.77,68.5
16001,Albia,IA,1139,7712.31,8014.81,3420.62,3457.25,1194.86,1269.68,2666.3,2853.68,165.27,177.6,132.77,139.63,179.59,168.16
16002,Algona,IA,2099,7314.83,7814.31,3061.14,3308.05,1325.85,1393.26,2591.09,2785.75,68.11,73.05,160.05,167.06,173.61,158.68
16003,Ames,IA,8267,7224.74,7798.52,3040.7,3492.69,2343.16,2465.63,1352.41,1375.3,134.11,137.13,220.02,203.82,141.12,132.39
16005,Atlantic,IA,2825,9027.12,9263.23,4027.62,4000.43,1591.82,1646.11,2780.8,2963.89,223.56,236.57,283.89,312.13,175.3,162.82
16006,Audubon,IA,1098,9109.46,8818.49,3982.65,3408.02,1210.92,1242.56,3527.42,3782.92,176.66,190.46,148.38,157.94,179.17,170.34
16008,Bloomfield,IA,1437,8437.19,8344.41,3848.9,3442.37,1335.21,1413.75,2707.9,2911.67,92.72,98.83,229.6,262.65,229.37,217.7
16009,Boone,IA,3056,8061.49,8814.33,3694.49,4265.7,1904.84,1982.13,1881.28,1992.3,117.07,124.04,239.57,240.04,252.46,237.07
16010,Britt,IA,555,10175.48,10212.34,4810.85,4518.3,1402.17,1502.63,3650.25,3921.89,71.82,77.82,80.33,67.54,290.42,270.33
16011,Burlington,IA,8680,7364.96,7956.18,3293.41,3644.18,1523.84,1629.78,1968.57,2090.36,216.04,232.98,174.25,183.25,201.04,188.65
16012,Carroll,IA,2905,6536.77,7126.2,2609.02,2926.58,1732.09,1865.02,1570.26,1671.39,233.38,252.04,245.92,276.44,177.98,165.71
16013,Cedar Falls,IA,4686,8021.14,8619.73,3058.67,3396.53,2043.14,2167.93,2319.68,2441.64,181.76,192.31,289.37,313.66,159.8,142.79
16014,Cedar Rapids,IA,27711,7864.22,8504.43,3319.69,3750.58,2047.7,2148.41,1751.6,1840.77,233.25,246,327.53,349.95,182.71,168.07
16015,Centerville,IA,2107,8392.9,9218.34,3882.73,4444.79,1679.15,1744.77,2027.69,2170.77,203.73,217.35,418.16,468.67,180.87,167.03
16017,Charles City,IA,2682,8513.21,8913.58,3884.52,4000.35,1506.24,1607.36,2548.64,2720.82,141.11,151.46,196.02,215.02,266.02,248.29
16018,Cherokee,IA,1704,7144.59,8015.5,3166.08,3802.97,1580.27,1654.35,2030.34,2176.39,164.04,176.54,81.37,92.25,180.97,170.25
16019,Clarinda,IA,1428,9972.6,10453.45,4169,4280.83,1279.71,1337.82,4075.25,4378.07,231.69,237.63,160.39,190.97,190.36,173.31
16020,Clarion,IA,847,12056.21,10944.66,6119.57,4643.13,1492.47,1590.96,3801.29,4098.45,337.41,364.54,123.71,119.07,281,250.6
16021,Clinton,IA,7553,8767.7,9120.33,4168.41,4270.09,2400.71,2534.24,1526.01,1605.91,296.06,312.75,178.9,209.32,203.43,189.98
16022,Corning,IA,1494,8753.21,8789.6,3502.2,3204.96,1268.46,1300.77,3298.92,3538.82,168,181.51,405.23,472.89,159.49,146.58
16023,Corydon,IA,1137,8173.36,8770.01,3373.22,3700.6,1102.37,1150.13,2754.34,2963.85,442.1,477.62,323.25,322.17,219.06,205.26
16024,Council Bluffs,IA,10823,8006.04,8394.94,3434.9,3713.79,2154.84,2227.89,1532.51,1539.97,399,400.68,306.38,316.34,174.67,194.04
16025,Cresco,IA,1242,7499.87,7412.21,3374.83,3044.11,1055.9,1146.06,2788.35,2944.85,92.23,99.57,104.51,116.88,185.94,171.54
16026,Creston,IA,1940,7099.79,7395.97,2575.75,2568.2,1114.37,1165.57,2688.66,2888.57,106.81,112.28,438.6,501.55,171.04,159.21
16027,Davenport,IA,19008,8459.21,8874.85,3801.63,4108.28,2195.68,2299.26,1552.2,1554.85,443.87,441.06,283.96,303.28,185.98,170.54
16029,Decorah,IA,2697,7284.83,7397.49,3066.29,2919.51,1217.53,1333.85,2675.01,2807.75,126.7,136.16,135.98,159.53,161.34,145.71
16030,Denison,IA,1887,7470.07,7589.78,3253.05,3152.24,1275.76,1328.65,2636.61,2818.27,91.28,98.37,80.07,82.42,198.66,181.97
16031,Des Moines,IA,60235,7441.54,7778.52,3281.76,3486.24,2118.47,2202.67,1284.13,1332.15,274.97,283.87,291.98,298.44,185.44,170.44
16032,Dubuque,IA,12257,7365.91,7969.12,3196.48,3614.94,2118.24,2215.2,1439.09,1503.91,186.14,195.38,233.42,262.42,174.83,161.8
16033,Eldora,IA,606,8389.73,9074.97,3675.15,4085.26,2108.28,2220.11,1947.1,2057.91,74.95,78.6,353.57,408.99,236.13,224.18
16034,Elkader,IA,533,7085.05,7272.16,2823.08,2742.82,1389.27,1479.85,2492.14,2656.24,117.98,127.57,143.5,161.17,139.48,128.77
16035,Emmetsburg,IA,1354,8596.21,9333.21,3471.65,3864.02,1432.33,1536.32,3372.5,3620.44,65.03,69.77,138.45,152.6,232.45,215.24
16036,Estherville,IA,2005,8340.27,8500.34,3822.98,3733.26,1355.87,1442.36,2840.98,3014.11,116.37,124.5,110.47,111.29,175.3,163.73
16037,Fairfield,IA,2874,8305.41,9111.02,3805.41,4356.7,1462.41,1551.81,2296.06,2422.63,177.31,189.09,348.2,393.05,215.3,198.12
16039,Fort Dodge,IA,6965,7571.88,8013.81,2984.01,3162.62,1934.47,2042.24,1892.26,2022.68,233.47,251.49,288.06,316.57,252.26,234.28
16040,Fort Madison,IA,2872,6757.48,7095.4,2844.22,2959.52,1447.25,1542.49,1890.15,2005.48,229.26,247.78,130.63,140.81,239.76,225.95
16041,Greenfield,IA,948,8033.18,8333.39,3242.95,3225.05,1181.65,1221.85,3197.56,3441.33,47.89,51.75,304.19,352.31,121.93,110.16
16042,Grinnell,IA,4021,6868.6,7417.21,2914.97,3260.51,1757.62,1852.24,1705,1801.62,92.01,98.02,204.91,222.99,193.37,182.27
16044,Guthrie Center,IA,486,9201.35,8666.35,4377.07,3701.87,1671.17,1735.14,2374.22,2448.46,150.89,155.62,460.86,483.06,181.9,164.4
