HSAID,HSANAME,HRRID,HRRNAME
10018,FL- CLEARWATER,116,FL- CLEARWATER
10019,FL- CLERMONT,130,FL- ORLANDO
10020,FL- CLEWISTON,119,FL- FORT MYERS
10021,FL- COCOA BEACH,130,FL- ORLANDO
10022,FL- CORAL GABLES,127,FL- MIAMI
10023,FL- CORAL SPRINGS,118,FL- FORT LAUDERDALE
10024,FL- CRESTVIEW,134,FL- PENSACOLA
10025,FL- CRYSTAL RIVER,129,FL- OCALA
10026,FL- DADE CITY,141,FL- TAMPA
10027,FL- DAYTONA BEACH,131,FL- ORMOND BEACH
10028,FL- DE FUNIAK SPRINGS,134,FL- PENSACOLA
10029,FL- DE LAND,130,FL- ORLANDO
10030,FL- DELRAY BEACH,118,FL- FORT LAUDERDALE
10031,FL- DESTIN,134,FL- PENSACOLA
10032,FL- DUNEDIN,116,FL- CLEARWATER
10033,FL- ENGLEWOOD,137,FL- SARASOTA
10034,FL- EUSTIS,130,FL- ORLANDO
10035,FL- FERNANDINA BEACH,123,FL- JACKSONVILLE
10036,FL- FORT LAUDERDALE,118,FL- FORT LAUDERDALE
10037,FL- FORT MYERS,119,FL- FORT MYERS
10038,FL- FORT PIERCE,130,FL- ORLANDO
10039,FL- FORT WALTON BEACH,134,FL- PENSACOLA
10040,FL- GAINESVILLE,120,FL- GAINESVILLE
10041,FL- GRACEVILLE,2,AL- DOTHAN
10043,FL- GULF BREEZE,134,FL- PENSACOLA
10045,FL- HIALEAH,127,FL- MIAMI
10046,FL- HOLLYWOOD,127,FL- MIAMI
10047,FL- HOMESTEAD,127,FL- MIAMI
10048,FL- HUDSON,122,FL- HUDSON
10049,FL- INVERNESS,129,FL- OCALA
10050,FL- JACKSONVILLE,123,FL- JACKSONVILLE
10051,FL- JACKSONVL BEACH,123,FL- JACKSONVILLE
10052,FL- JASPER,140,FL- TALLAHASSEE
10053,FL- JAY,134,FL- PENSACOLA
10054,FL- JUPITER,118,FL- FORT LAUDERDALE
10055,FL- KEY WEST,127,FL- MIAMI
10056,FL- KISSIMMEE,130,FL- ORLANDO
10058,FL- LAKE CITY,120,FL- GAINESVILLE
10059,FL- LAKE WALES,130,FL- ORLANDO
10061,FL- LAKELAND,124,FL- LAKELAND
10062,FL- LARGO,116,FL- CLEARWATER
10063,FL- LEESBURG,130,FL- ORLANDO
10064,FL- LEHIGH ACRES,119,FL- FORT MYERS
10069,FL- MADISON,140,FL- TALLAHASSEE
10070,FL- MARATHON,127,FL- MIAMI
10071,FL- MARGATE,118,FL- FORT LAUDERDALE
10072,FL- MARIANNA,2,AL- DOTHAN
10073,FL- MELBOURNE,130,FL- ORLANDO
10074,FL- MIAMI,127,FL- MIAMI
10075,FL- MIAMI BEACH,127,FL- MIAMI
10076,FL- MILTON,134,FL- PENSACOLA
10077,FL- NAPLES,119,FL- FORT MYERS
10078,FL- NEW PORT RICHEY,122,FL- HUDSON
10079,FL- NEW SMYRNA BEACH,131,FL- ORMOND BEACH
10080,FL- NICEVILLE,134,FL- PENSACOLA
10083,FL- OCALA,129,FL- OCALA
10084,FL- OKEECHOBEE,130,FL- ORLANDO
10085,FL- ORANGE PARK,123,FL- JACKSONVILLE
10086,FL- ORLANDO,130,FL- ORLANDO
10087,FL- ORMOND BEACH,131,FL- ORMOND BEACH
10088,FL- PAHOKEE,118,FL- FORT LAUDERDALE
10089,FL- PALATKA,120,FL- GAINESVILLE
10090,FL- PALM BEACH GARDENS,118,FL- FORT LAUDERDALE
10091,FL- PANAMA CITY,133,FL- PANAMA CITY
10092,FL- PEMBROKE PINES,127,FL- MIAMI
10093,FL- PENSACOLA,134,FL- PENSACOLA
10096,FL- PLANT CITY,124,FL- LAKELAND
10097,FL- PLANTATION,118,FL- FORT LAUDERDALE
10098,FL- POMPANO BEACH,118,FL- FORT LAUDERDALE
10099,FL- PORT CHARLOTTE,119,FL- FORT MYERS
10100,FL- PORT ST JOE,133,FL- PANAMA CITY
10101,FL- PORT ST LUCIE,118,FL- FORT LAUDERDALE
10102,FL- PUNTA GORDA,119,FL- FORT MYERS
10104,FL- ROCKLEDGE,130,FL- ORLANDO
10105,FL- SAFETY HARBOR,116,FL- CLEARWATER
10106,FL- SANFORD,130,FL- ORLANDO
10107,FL- SARASOTA,137,FL- SARASOTA
10108,FL- SEBASTIAN,130,FL- ORLANDO
10109,FL- SEBRING,130,FL- ORLANDO
10111,FL- SOUTH MIAMI,127,FL- MIAMI
10112,FL- SPRING HILL,122,FL- HUDSON
10113,FL- ST AUGUSTINE,123,FL- JACKSONVILLE
10114,FL- ST CLOUD,130,FL- ORLANDO
10115,FL- ST PETERSBURG,139,FL- ST PETERSBURG
10117,FL- STUART,118,FL- FORT LAUDERDALE
10118,FL- SUN CITY CENTER,141,FL- TAMPA
10119,FL- TALLAHASSEE,140,FL- TALLAHASSEE
10120,FL- TAMARAC,118,FL- FORT LAUDERDALE
10121,FL- TAMPA,141,FL- TAMPA
10122,FL- TARPON SPRINGS,116,FL- CLEARWATER
10123,FL- TAVERNIER,127,FL- MIAMI
10124,FL- TITUSVILLE,130,FL- ORLANDO
10125,FL- VENICE,137,FL- SARASOTA
10126,FL- VERO BEACH,130,FL- ORLANDO
10128,FL- WEST PALM BEACH,118,FL- FORT LAUDERDALE
10131,FL- WINTER HAVEN,130,FL- ORLANDO
10132,FL- WINTER PARK,130,FL- ORLANDO
10133,FL- ZEPHYRHILLS,141,FL- TAMPA
10135,FL- OCOEE,130,FL- ORLANDO
11001,GA- ADEL,140,FL- TALLAHASSEE
11002,GA- ALBANY,142,GA- ALBANY
11003,GA- ALMA,123,FL- JACKSONVILLE
11004,GA- AMERICUS,142,GA- ALBANY
11005,GA- ARLINGTON,142,GA- ALBANY
11006,GA- ATHENS,144,GA- ATLANTA
11007,GA- ATLANTA,144,GA- ATLANTA
11008,GA- AUGUSTA,145,GA- AUGUSTA
11009,GA- AUSTELL,144,GA- ATLANTA
11010,GA- BAINBRIDGE,140,FL- TALLAHASSEE
11011,GA- BAXLEY,149,GA- SAVANNAH
11013,GA- BLAIRSVILLE,144,GA- ATLANTA
11014,GA- BLAKELY,2,AL- DOTHAN
11015,GA- BLUE RIDGE,144,GA- ATLANTA
11017,GA- BREMEN,148,GA- ROME
11018,GA- BRUNSWICK,123,FL- JACKSONVILLE
11020,GA- CAIRO,140,FL- TALLAHASSEE
11021,GA- CALHOUN,148,GA- ROME
11023,GA- CANTON,144,GA- ATLANTA
11024,GA- CARROLLTON,144,GA- ATLANTA
11025,GA- CARTERSVILLE,144,GA- ATLANTA
11028,GA- CLAXTON,149,GA- SAVANNAH
11029,GA- CLAYTON,144,GA- ATLANTA
11030,GA- COCHRAN,147,GA- MACON
11031,GA- COLQUITT,140,FL- TALLAHASSEE
11032,GA- COLUMBUS,146,GA- COLUMBUS
11033,GA- COMMERCE,144,GA- ATLANTA
11034,GA- CONYERS,144,GA- ATLANTA
11035,GA- CORDELE,147,GA- MACON
11036,GA- COVINGTON,144,GA- ATLANTA
11038,GA- CUTHBERT,146,GA- COLUMBUS
11039,GA- DAHLONEGA,144,GA- ATLANTA
11040,GA- DALLAS,144,GA- ATLANTA
11041,GA- DALTON,144,GA- ATLANTA
11043,GA- DECATUR,144,GA- ATLANTA
11044,GA- DEMOREST,144,GA- ATLANTA
11045,GA- DONALSONVILLE,2,AL- DOTHAN
11046,GA- DOUGLAS,123,FL- JACKSONVILLE
11047,GA- DOUGLASVILLE,144,GA- ATLANTA
11048,GA- DUBLIN,147,GA- MACON
11049,GA- EAST POINT,144,GA- ATLANTA
11050,GA- EASTMAN,147,GA- MACON
11051,GA- EATONTON,144,GA- ATLANTA
11052,GA- ELBERTON,144,GA- ATLANTA
11053,GA- ELLIJAY,144,GA- ATLANTA
11054,GA- FITZGERALD,147,GA- MACON
11055,GA- FOLKSTON,123,FL- JACKSONVILLE
11056,GA- FORSYTH,147,GA- MACON
11057,GA- FORT OGLETHORPE,373,TN- CHATTANOOGA
11058,GA- FORT VALLEY,147,GA- MACON
11059,GA- GAINESVILLE,144,GA- ATLANTA
11060,GA- GLENWOOD,147,GA- MACON
11061,GA- GREENSBORO,144,GA- ATLANTA
11062,GA- GRIFFIN,144,GA- ATLANTA
11063,GA- HAHIRA,140,FL- TALLAHASSEE
11064,GA- HARTWELL,144,GA- ATLANTA
11065,GA- HAWKINSVILLE,147,GA- MACON
11066,GA- HAZLEHURST,149,GA- SAVANNAH
11067,GA- HIAWASSEE,144,GA- ATLANTA
11068,GA- HINESVILLE,149,GA- SAVANNAH
11069,GA- HOMERVILLE,123,FL- JACKSONVILLE
11070,GA- JACKSON,144,GA- ATLANTA
11071,GA- JASPER,144,GA- ATLANTA
11072,GA- JESUP,149,GA- SAVANNAH
11073,GA- LA GRANGE,144,GA- ATLANTA
11074,GA- LAKELAND,140,FL- TALLAHASSEE
11075,GA- LAWRENCEVILLE,144,GA- ATLANTA
11077,GA- LOUISVILLE,145,GA- AUGUSTA
11078,GA- MACON,147,GA- MACON
11080,GA- MARIETTA,144,GA- ATLANTA
11081,GA- MCRAE,147,GA- MACON
11082,GA- METTER,149,GA- SAVANNAH
11083,GA- MILLEDGEVILLE,147,GA- MACON
11084,GA- MILLEN,145,GA- AUGUSTA
11085,GA- MONROE,144,GA- ATLANTA
11086,GA- MONTEZUMA,147,GA- MACON
11088,GA- MOULTRIE,140,FL- TALLAHASSEE
11089,GA- NASHVILLE,140,FL- TALLAHASSEE
11090,GA- NEWNAN,144,GA- ATLANTA
11091,GA- OCILLA,147,GA- MACON
11092,GA- PERRY,147,GA- MACON
11093,GA- QUITMAN,140,FL- TALLAHASSEE
11094,GA- REIDSVILLE,149,GA- SAVANNAH
11095,GA- RICHLAND,146,GA- COLUMBUS
11096,GA- RIVERDALE,144,GA- ATLANTA
11098,GA- ROME,148,GA- ROME
11099,GA- ROSWELL,144,GA- ATLANTA
11100,GA- ROYSTON,144,GA- ATLANTA
11101,GA- SANDERSVILLE,145,GA- AUGUSTA
11102,GA- SAVANNAH,149,GA- SAVANNAH
11103,GA- SMYRNA,144,GA- ATLANTA
11104,GA- SNELLVILLE,144,GA- ATLANTA
11105,GA- SPARTA,147,GA- MACON
11107,GA- ST MARYS,123,FL- JACKSONVILLE
11108,GA- STATESBORO,149,GA- SAVANNAH
11109,GA- STOCKBRIDGE,144,GA- ATLANTA
11111,GA- SWAINSBORO,145,GA- AUGUSTA
11112,GA- SYLVANIA,149,GA- SAVANNAH
11114,GA- THOMASTON,147,GA- MACON
11115,GA- THOMASVILLE,140,FL- TALLAHASSEE
11116,GA- THOMSON,145,GA- AUGUSTA
11117,GA- TIFTON,140,FL- TALLAHASSEE
11118,GA- TOCCOA,144,GA- ATLANTA
11119,GA- VALDOSTA,140,FL- TALLAHASSEE
11120,GA- VIDALIA,149,GA- SAVANNAH
11121,GA- VIENNA,147,GA- MACON
11122,GA- VILLA RICA,144,GA- ATLANTA
11124,GA- WARNER ROBINS,147,GA- MACON
11125,GA- WASHINGTON,145,GA- AUGUSTA
11126,GA- WAYCROSS,123,FL- JACKSONVILLE
11127,GA- WAYNESBORO,145,GA- AUGUSTA
11128,GA- WINDER,144,GA- ATLANTA
12001,HI- HILO,150,HI- HONOLULU
12003,HI- HONOLULU,150,HI- HONOLULU
12005,HI- KAILUA,150,HI- HONOLULU
12007,HI- KEALAKEKUA,150,HI- HONOLULU
12008,HI- KOHALA,150,HI- HONOLULU
12010,HI- LIHUE,150,HI- HONOLULU
12012,HI- WAHIAWA,150,HI- HONOLULU
12013,HI- WAILUKU,150,HI- HONOLULU
12014,HI- WAIMEA,150,HI- HONOLULU
13003,ID- BLACKFOOT,152,ID- IDAHO FALLS
13004,ID- BOISE,151,ID- BOISE
13005,ID- BONNERS FERRY,440,WA- SPOKANE
13006,ID- BURLEY,423,UT- SALT LAKE CITY
13007,ID- CALDWELL,151,ID- BOISE
13009,ID- COEUR D'ALENE,440,WA- SPOKANE
13010,ID- COTTONWOOD,440,WA- SPOKANE
13012,ID- DRIGGS,152,ID- IDAHO FALLS
13015,ID- GRANGEVILLE,440,WA- SPOKANE
13017,ID- IDAHO FALLS,152,ID- IDAHO FALLS
13019,ID- KELLOGG,440,WA- SPOKANE
13020,ID- LEWISTON,440,WA- SPOKANE
13021,ID- MALAD CITY,423,UT- SALT LAKE CITY
13022,ID- MCCALL,151,ID- BOISE
13023,ID- MONTPELIER,423,UT- SALT LAKE CITY
13024,ID- MOSCOW,440,WA- SPOKANE
13025,ID- MOUNTAIN HOME,151,ID- BOISE
13026,ID- NAMPA,151,ID- BOISE
13027,ID- OROFINO,440,WA- SPOKANE
13028,ID- POCATELLO,423,UT- SALT LAKE CITY
13029,ID- PRESTON,423,UT- SALT LAKE CITY
13030,ID- REXBURG,152,ID- IDAHO FALLS
13031,ID- RUPERT,423,UT- SALT LAKE CITY
13032,ID- SALMON,276,MT- MISSOULA
13033,ID- SANDPOINT,440,WA- SPOKANE
13035,ID- SODA SPRINGS,423,UT- SALT LAKE CITY
13036,ID- ST MARIES,440,WA- SPOKANE
13037,ID- SUN VALLEY,151,ID- BOISE
13038,ID- TWIN FALLS,151,ID- BOISE
13039,ID- WEISER,151,ID- BOISE
14001,IL- ALEDO,191,IA- DAVENPORT
14002,IL- ALTON,273,MO- ST LOUIS
14003,IL- ANNA,263,MO- CAPE GIRARDEAU
14004,IL- ARLINGTON HEIGHTS,161,IL- EVANSTON
14005,IL- AURORA,154,IL- AURORA
14006,IL- BARRINGTON,158,IL- ELGIN
14007,IL- BELLEVILLE,273,MO- ST LOUIS
14008,IL- BELVIDERE,171,IL- ROCKFORD
14009,IL- BENTON,273,MO- ST LOUIS
14010,IL- BERWYN,166,IL- MELROSE PARK
14011,IL- BLOOMINGTON,175,IL- BLOOMINGTON
14012,IL- BLUE ISLAND,155,IL- BLUE ISLAND
14013,IL- BREESE,273,MO- ST LOUIS
14014,IL- CANTON,170,IL- PEORIA
14015,IL- CARBONDALE,273,MO- ST LOUIS
14016,IL- CARLINVILLE,172,IL- SPRINGFIELD
14017,IL- CARMI,179,IN- EVANSVILLE
14018,IL- CARROLLTON,172,IL- SPRINGFIELD
14019,IL- CARTHAGE,172,IL- SPRINGFIELD
14020,IL- CENTRALIA,273,MO- ST LOUIS
14022,IL- CHESTER,273,MO- ST LOUIS
14023,IL- CHICAGO,156,IL- CHICAGO
14024,IL- CHICAGO HEIGHTS,155,IL- BLUE ISLAND
14026,IL- CLINTON,172,IL- SPRINGFIELD
14027,IL- DANVILLE,173,IL- URBANA
14028,IL- DE KALB,171,IL- ROCKFORD
14029,IL- DECATUR,172,IL- SPRINGFIELD
14031,IL- DIXON,171,IL- ROCKFORD
14032,IL- DOWNERS GROVE,163,IL- HINSDALE
14033,IL- DU QUOIN,273,MO- ST LOUIS
14035,IL- EFFINGHAM,172,IL- SPRINGFIELD
14036,IL- ELDORADO,179,IN- EVANSVILLE
14037,IL- ELGIN,158,IL- ELGIN
14038,IL- ELK GROVE VILLAGE,166,IL- MELROSE PARK
14039,IL- ELMHURST,166,IL- MELROSE PARK
14040,IL- EVANSTON,161,IL- EVANSTON
14043,IL- FAIRFIELD,179,IN- EVANSVILLE
14044,IL- FLORA,172,IL- SPRINGFIELD
14045,IL- FREEPORT,171,IL- ROCKFORD
14047,IL- GALESBURG,170,IL- PEORIA
14048,IL- GENESEO,191,IA- DAVENPORT
14049,IL- GIBSON CITY,173,IL- URBANA
14050,IL- GLENDALE HEIGHTS,166,IL- MELROSE PARK
14051,IL- GRANITE CITY,273,MO- ST LOUIS
14052,IL- GREENVILLE,273,MO- ST LOUIS
14053,IL- HARRISBURG,179,IN- EVANSVILLE
14054,IL- HARVARD,171,IL- ROCKFORD
14055,IL- HARVEY,155,IL- BLUE ISLAND
14056,IL- HAVANA,172,IL- SPRINGFIELD
14057,IL- HAZEL CREST,155,IL- BLUE ISLAND
14058,IL- HERRIN,273,MO- ST LOUIS
14059,IL- HIGHLAND,273,MO- ST LOUIS
14060,IL- HIGHLAND PARK,161,IL- EVANSTON
14061,IL- HILLSBORO,172,IL- SPRINGFIELD
14062,IL- HINSDALE,163,IL- HINSDALE
14063,IL- HOFFMAN ESTATES,158,IL- ELGIN
14064,IL- HOOPESTON,173,IL- URBANA
14065,IL- HOPEDALE,170,IL- PEORIA
14066,IL- JACKSONVILLE,172,IL- SPRINGFIELD
14067,IL- JERSEYVILLE,273,MO- ST LOUIS
14068,IL- JOLIET,164,IL- JOLIET
14069,IL- KANKAKEE,164,IL- JOLIET
14070,IL- KEWANEE,170,IL- PEORIA
14071,IL- LA GRANGE,166,IL- MELROSE PARK
14072,IL- LAKE FOREST,161,IL- EVANSTON
14073,IL- LAWRENCEVILLE,179,IN- EVANSVILLE
14074,IL- LIBERTYVILLE,451,WI- MILWAUKEE
14075,IL- LINCOLN,172,IL- SPRINGFIELD
14076,IL- LITCHFIELD,172,IL- SPRINGFIELD
14077,IL- MACOMB,172,IL- SPRINGFIELD
14078,IL- MARION,208,KY- PADUCAH
14079,IL- MARYVILLE,273,MO- ST LOUIS
14080,IL- MATTOON,173,IL- URBANA
14082,IL- MCHENRY,158,IL- ELGIN
14083,IL- MCLEANSBORO,179,IN- EVANSVILLE
14084,IL- MELROSE PARK,166,IL- MELROSE PARK
14085,IL- MENDOTA,171,IL- ROCKFORD
14086,IL- METROPOLIS,208,KY- PADUCAH
14088,IL- MONMOUTH,170,IL- PEORIA
14089,IL- MONTICELLO,173,IL- URBANA
14090,IL- MORRIS,164,IL- JOLIET
14092,IL- MOUNT CARMEL,179,IN- EVANSVILLE
14093,IL- MOUNT VERNON,273,MO- ST LOUIS
14094,IL- MURPHYSBORO,263,MO- CAPE GIRARDEAU
14095,IL- NAPERVILLE,163,IL- HINSDALE
14096,IL- NASHVILLE,273,MO- ST LOUIS
14097,IL- OAK LAWN,155,IL- BLUE ISLAND
14098,IL- OAK PARK,166,IL- MELROSE PARK
14099,IL- OLNEY,179,IN- EVANSVILLE
14100,IL- OTTAWA,170,IL- PEORIA
14101,IL- PALOS HEIGHTS,155,IL- BLUE ISLAND
14102,IL- PANA,172,IL- SPRINGFIELD
14103,IL- PARIS,173,IL- URBANA
14104,IL- PARK RIDGE,161,IL- EVANSTON
14105,IL- PEKIN,170,IL- PEORIA
14106,IL- PEORIA,170,IL- PEORIA
14107,IL- PERU,170,IL- PEORIA
14108,IL- PINCKNEYVILLE,273,MO- ST LOUIS
14109,IL- PITTSFIELD,172,IL- SPRINGFIELD
14110,IL- PONTIAC,175,IL- BLOOMINGTON
14111,IL- PRINCETON,171,IL- ROCKFORD
14112,IL- QUINCY,172,IL- SPRINGFIELD
14113,IL- RED BUD,273,MO- ST LOUIS
14114,IL- ROBINSON,179,IN- EVANSVILLE
14115,IL- ROCHELLE,171,IL- ROCKFORD
14116,IL- ROCK ISLAND,191,IA- DAVENPORT
14117,IL- ROCKFORD,171,IL- ROCKFORD
14118,IL- ROSICLARE,179,IN- EVANSVILLE
14119,IL- RUSHVILLE,172,IL- SPRINGFIELD
14120,IL- SALEM,273,MO- ST LOUIS
14121,IL- SANDWICH,154,IL- AURORA
14123,IL- SHELBYVILLE,172,IL- SPRINGFIELD
14124,IL- SILVIS,191,IA- DAVENPORT
14125,IL- SKOKIE,161,IL- EVANSTON
14126,IL- SPARTA,273,MO- ST LOUIS
14127,IL- SPRING VALLEY,170,IL- PEORIA
14128,IL- SPRINGFIELD,172,IL- SPRINGFIELD
14130,IL- STAUNTON,273,MO- ST LOUIS
14131,IL- STERLING,171,IL- ROCKFORD
14132,IL- STREATOR,170,IL- PEORIA
14134,IL- TAYLORVILLE,172,IL- SPRINGFIELD
14136,IL- URBANA,173,IL- URBANA
14137,IL- VANDALIA,172,IL- SPRINGFIELD
14138,IL- WATSEKA,173,IL- URBANA
14139,IL- WAUKEGAN,451,WI- MILWAUKEE
14140,IL- WEST FRANKFORT,273,MO- ST LOUIS
14141,IL- WINFIELD,166,IL- MELROSE PARK
14143,IL- WOODSTOCK,171,IL- ROCKFORD
14146,IL- EUREKA,170,IL- PEORIA
14147,IL- GENEVA,166,IL- MELROSE PARK
15001,IN- ANDERSON,183,IN- INDIANAPOLIS
15002,IN- ANGOLA,180,IN- FORT WAYNE
15003,IN- AUBURN,180,IN- FORT WAYNE
15004,IN- BATESVILLE,327,OH- CINCINNATI
15005,IN- BEDFORD,183,IN- INDIANAPOLIS
15006,IN- BEECH GROVE,183,IN- INDIANAPOLIS
15007,IN- BLOOMINGTON,183,IN- INDIANAPOLIS
15008,IN- BLUFFTON,180,IN- FORT WAYNE
15009,IN- BOONVILLE,179,IN- EVANSVILLE
15010,IN- BRAZIL,183,IN- INDIANAPOLIS
15011,IN- BREMEN,187,IN- SOUTH BEND
15012,IN- CHARLESTOWN,205,KY- LOUISVILLE
15013,IN- CLINTON,188,IN- TERRE HAUTE
15014,IN- COLUMBIA CITY,180,IN- FORT WAYNE
15015,IN- COLUMBUS,183,IN- INDIANAPOLIS
15016,IN- CONNERSVILLE,183,IN- INDIANAPOLIS
15017,IN- CORYDON,205,KY- LOUISVILLE
15018,IN- CRAWFORDSVILLE,183,IN- INDIANAPOLIS
15019,IN- CROWN POINT,181,IN- GARY
15020,IN- DANVILLE,183,IN- INDIANAPOLIS
15021,IN- DECATUR,180,IN- FORT WAYNE
15022,IN- DYER,186,IN- MUNSTER
15023,IN- EAST CHICAGO,186,IN- MUNSTER
15024,IN- ELKHART,187,IN- SOUTH BEND
15025,IN- ELWOOD,183,IN- INDIANAPOLIS
15026,IN- EVANSVILLE,179,IN- EVANSVILLE
15027,IN- FORT WAYNE,180,IN- FORT WAYNE
15028,IN- FRANKFORT,183,IN- INDIANAPOLIS
15029,IN- FRANKLIN,183,IN- INDIANAPOLIS
15030,IN- GARY,181,IN- GARY
15031,IN- GOSHEN,187,IN- SOUTH BEND
15032,IN- GREENCASTLE,183,IN- INDIANAPOLIS
15033,IN- GREENFIELD,183,IN- INDIANAPOLIS
15034,IN- GREENSBURG,183,IN- INDIANAPOLIS
15035,IN- HAMMOND,186,IN- MUNSTER
15036,IN- HARTFORD CITY,185,IN- MUNCIE
15037,IN- HUNTINGBURG,179,IN- EVANSVILLE
15038,IN- HUNTINGTON,180,IN- FORT WAYNE
15039,IN- INDIANAPOLIS,183,IN- INDIANAPOLIS
15040,IN- JASPER,179,IN- EVANSVILLE
15041,IN- JEFFERSONVILLE,205,KY- LOUISVILLE
15042,IN- KENDALLVILLE,180,IN- FORT WAYNE
15043,IN- KNOX,181,IN- GARY
15044,IN- KOKOMO,183,IN- INDIANAPOLIS
15045,IN- LAFAYETTE,184,IN- LAFAYETTE
15046,IN- LAGRANGE,180,IN- FORT WAYNE
15047,IN- LAPORTE,187,IN- SOUTH BEND
15048,IN- LAWRENCEBURG,327,OH- CINCINNATI
15049,IN- LEBANON,183,IN- INDIANAPOLIS
15050,IN- LINTON,183,IN- INDIANAPOLIS
15051,IN- LOGANSPORT,183,IN- INDIANAPOLIS
15052,IN- MADISON,205,KY- LOUISVILLE
15053,IN- MARION,183,IN- INDIANAPOLIS
15054,IN- MARTINSVILLE,183,IN- INDIANAPOLIS
15055,IN- MICHIGAN CITY,181,IN- GARY
15056,IN- MONTICELLO,183,IN- INDIANAPOLIS
15057,IN- MUNCIE,185,IN- MUNCIE
15058,IN- MUNSTER,186,IN- MUNSTER
15059,IN- NEW ALBANY,205,KY- LOUISVILLE
15060,IN- NEW CASTLE,183,IN- INDIANAPOLIS
15061,IN- NOBLESVILLE,183,IN- INDIANAPOLIS
15062,IN- NORTH VERNON,183,IN- INDIANAPOLIS
15064,IN- PAOLI,205,KY- LOUISVILLE
15065,IN- PERU,183,IN- INDIANAPOLIS
15066,IN- PLYMOUTH,187,IN- SOUTH BEND
15067,IN- PORTLAND,180,IN- FORT WAYNE
15068,IN- PRINCETON,179,IN- EVANSVILLE
15069,IN- RENSSELAER,184,IN- LAFAYETTE
15070,IN- RICHMOND,183,IN- INDIANAPOLIS
15071,IN- ROCHESTER,187,IN- SOUTH BEND
15072,IN- RUSHVILLE,183,IN- INDIANAPOLIS
15073,IN- SALEM,205,KY- LOUISVILLE
15074,IN- SEYMOUR,183,IN- INDIANAPOLIS
15075,IN- SHELBYVILLE,183,IN- INDIANAPOLIS
15076,IN- SOUTH BEND,187,IN- SOUTH BEND
15077,IN- SULLIVAN,188,IN- TERRE HAUTE
15078,IN- TELL CITY,179,IN- EVANSVILLE
15079,IN- TERRE HAUTE,188,IN- TERRE HAUTE
15080,IN- TIPTON,183,IN- INDIANAPOLIS
15082,IN- VALPARAISO,181,IN- GARY
15083,IN- VINCENNES,179,IN- EVANSVILLE
15084,IN- WABASH,180,IN- FORT WAYNE
15085,IN- WARSAW,180,IN- FORT WAYNE
15086,IN- WASHINGTON,179,IN- EVANSVILLE
15087,IN- WILLIAMSPORT,184,IN- LAFAYETTE
15088,IN- WINAMAC,183,IN- INDIANAPOLIS
15089,IN- WINCHESTER,185,IN- MUNCIE
15091,IN- MISHAWAKA,187,IN- SOUTH BEND
15093,IN- SCOTTSBURG,205,KY- LOUISVILLE
16001,IA- ALBIA,192,IA- DES MOINES
16002,IA- ALGONA,195,IA- MASON CITY
16003,IA- AMES,192,IA- DES MOINES
16005,IA- ATLANTIC,278,NE- OMAHA
16006,IA- AUDUBON,192,IA- DES MOINES
16008,IA- BLOOMFIELD,192,IA- DES MOINES
16009,IA- BOONE,192,IA- DES MOINES
16010,IA- BRITT,195,IA- MASON CITY
16011,IA- BURLINGTON,191,IA- DAVENPORT
16012,IA- CARROLL,192,IA- DES MOINES
16013,IA- CEDAR FALLS,197,IA- WATERLOO
16014,IA- CEDAR RAPIDS,190,IA- CEDAR RAPIDS
16015,IA- CENTERVILLE,192,IA- DES MOINES
16017,IA- CHARLES CITY,253,MN- ROCHESTER
16018,IA- CHEROKEE,196,IA- SIOUX CITY
16019,IA- CLARINDA,278,NE- OMAHA
16020,IA- CLARION,195,IA- MASON CITY
16021,IA- CLINTON,191,IA- DAVENPORT
16022,IA- CORNING,192,IA- DES MOINES
16023,IA- CORYDON,192,IA- DES MOINES
16024,IA- COUNCIL BLUFFS,278,NE- OMAHA
16025,IA- CRESCO,253,MN- ROCHESTER
16026,IA- CRESTON,192,IA- DES MOINES
16027,IA- DAVENPORT,191,IA- DAVENPORT
16029,IA- DECORAH,448,WI- LA CROSSE
16030,IA- DENISON,278,NE- OMAHA
16031,IA- DES MOINES,192,IA- DES MOINES
16032,IA- DUBUQUE,193,IA- DUBUQUE
16033,IA- ELDORA,192,IA- DES MOINES
16034,IA- ELKADER,190,IA- CEDAR RAPIDS
16035,IA- EMMETSBURG,195,IA- MASON CITY
16036,IA- ESTHERVILLE,371,SD- SIOUX FALLS
16037,IA- FAIRFIELD,194,IA- IOWA CITY
16039,IA- FORT DODGE,192,IA- DES MOINES
16040,IA- FORT MADISON,194,IA- IOWA CITY
16041,IA- GREENFIELD,192,IA- DES MOINES
16042,IA- GRINNELL,192,IA- DES MOINES
16044,IA- GUTHRIE CENTER,192,IA- DES MOINES
16045,IA- GUTTENBERG,193,IA- DUBUQUE
16046,IA- HAMBURG,278,NE- OMAHA
16047,IA- HAMPTON,195,IA- MASON CITY
16048,IA- HARLAN,278,NE- OMAHA
16050,IA- HAWARDEN,371,SD- SIOUX FALLS
16051,IA- HUMBOLDT,192,IA- DES MOINES
16052,IA- IDA GROVE,196,IA- SIOUX CITY
16053,IA- INDEPENDENCE,197,IA- WATERLOO
16054,IA- IOWA CITY,194,IA- IOWA CITY
16055,IA- IOWA FALLS,192,IA- DES MOINES
16056,IA- JEFFERSON,192,IA- DES MOINES
16057,IA- KEOKUK,194,IA- IOWA CITY
16058,IA- KEOSAUQUA,194,IA- IOWA CITY
