HRR ID,HRR Name,State,Medicare Part D beneficiaries (2010),Average number of 30-day prescription fills per beneficiary (2010),Percent of patients filling beta-blocker prescription in the first 6 months following heart attack (2008-10),Percent of patients filling beta-blocker prescription in the 7-12 months following heart attack (2008-10),Percent of patients filling statin prescription in the first 6 months following heart attack (2008-10),Percent of patients filling statin prescription in the 7-12 months following heart attack (2008-10),Percent of diabetic patients age 65-75 filling ACE-I or ARB prescription (2010),Percent of diabetic patients age 65-75 filling statin prescription (2010),Percent of beneficiaries with a fragility fracture filling prescription for an osteoporosis drug within 6 months (2006-10),Percent of beneficiaries filling at least one prescription for a PPI (2010),Percent of beneficiaries filling at least one prescription for an SSRI/SNRI (2010),Percent of beneficiaries filling at least one prescription for a dementia medication (2010),Percent of beneficiaries filling at least one prescription for a new sedative-hypnotic (2010),Percent of beneficiaries filling prescriptions for more than one discretionary medication (2010),Percent of beneficiaries filling at least one prescription for a high-risk medication (2010),Percent of beneficiaries filling prescriptions for more than one high-risk medication (2010),Part D spending per Medicare beneficiary (2010),Spending for non-prescription drug services (Parts A and B) per Medicare beneficiary (2010),Proportion of 30-day prescriptions filled with brand-name products (2010)
203,Covington,KY,5963,52.776,77.88,73.08,78.85,75.96,74.55,76.69,13.13131313,26.6,22.4,7.7,6.5,15.2,30.3,7.9,2807.53,9473.14,23.9
204,Lexington,KY,32981,59.204,86.55,82.64,81.42,74.57,75.92,70.4,11.76470588,31.5,21.4,8.9,6.1,16.1,35.6,9.6,3186.84,9449.99,24.5
205,Louisville,KY,34562,52.682,85.1,78.4,68.47,65.23,70.68,67.4,15.4296875,26.7,22.1,8.6,7.4,15.4,34.3,9.7,2807.18,9319.88,24.7
207,Owensboro,KY,3716,56.478,70.21,78.72,70.21,63.83,74.67,74.67,,28.4,21.8,6.8,5,13.5,34.3,9.9,3082.87,9001.38,26.6
208,Paducah,KY,11125,53.61,82.84,75.37,64.18,61.94,74.85,67.78,13.52941176,32.7,21.7,6.8,6.7,15.6,35.5,10.9,2815.23,8273.77,24.9
209,Alexandria,LA,5778,56.501,80.95,79.37,61.9,65.08,75.92,70,,32.5,25.4,8.8,11.1,20.1,43,14.6,3210.5,11495.26,27.8
210,Baton Rouge,LA,8592,53.357,89.25,87.1,77.42,73.12,73.46,70.69,12.14953271,28.3,24.5,7.9,9.2,17.1,38.2,12.7,3146.12,10536.22,29.9
212,Houma,LA,5130,53.522,91.36,79.01,85.19,76.54,76.49,72.37,,25.1,20.7,8.3,8,14.7,36.4,11,2861.51,8588.22,27.4
213,Lafayette,LA,13112,53.944,83.02,75.47,74.53,72.64,73.66,69.8,16.35220126,29.6,25.1,9.2,10.6,19.3,38.4,12.7,3031.54,9786.09,28.1
214,Lake Charles,LA,4471,51.465,86.54,71.15,75,63.46,75.05,65.87,,28.7,24.5,8.7,9,17.8,38.6,11.7,2809.32,9460.69,27
216,Metairie,LA,4703,52.239,86.54,88.46,63.46,69.23,74.06,74.06,,27.9,21.7,8.4,8.4,15.6,39.1,12.6,3116.29,11575.48,30.7
217,Monroe,LA,5813,54.823,81.71,70.73,73.17,67.07,76.45,66.82,22.35294118,33.9,22.5,9.4,8.1,18.6,41.2,14.3,3033.88,10914.24,26.7
