HRR,HRR name,State,Table 1. Region information (2001-05),Table 2. Medicare spending per decedent by site of care during the last two years of life (deaths occurring 2001-05),,,,,,,,,Table 3. Medicare Part B spending by type of service (BETOS category) per decedent during the last two years of life (deaths occurring 2001-05),,,,,,Table 4. The Medical Care Cost Equation: Disaggregation of hospital (facility) reimbursements per decedent into contributions of volume (patient days per decedent) and price (average reimbursements per day in hospital) during the last two years of life (deaths occurring 2001-05),,,,,,,,Table 5. The Medical Care Cost Equation: Disaggregation of payments for physician visits per decedent into contributions of volume (physician visits per decedent) and price (average payments per physician visit) during the last two years of life (deaths occurring 2001-05),,,,,,,,"Table 6. Resource inputs per 1,000 decedents during the last two years of life (deaths occurring 2001-05)",,,,,,,,,,,Table 7. The patient experience of end-of-life care (deaths occurring 2001-05),,,,,,,,,,,"Table 7, continued. The patient experience of end-of-life care (deaths occurring 2001-05)",,,,,,,,,"Table 8. CMS Hospital Compare technical process quality measures (all patients, 2005)",,,
,,,Number of deaths among chronically ill patients living in region,Total Medicare spending,Inpatient sector,Outpatient sector,SNF/Long-term care sector,Home health sector,Hospice sector,Ambulance,Durable medical equipment,Other,Total Part B spending,Evaluation & management services,Procedures,Imaging,Tests,Other,Hospital reimbursements per decedent,Hospital days per decedent,Reimbursements per patient day,Ratios to U.S. average,,,,,Payments for physician visits per decedent,Physician visits per decedent,Payments per physician visit,Ratios to U.S. average,,,,,Hospital beds,Intensive care beds,,,Medical & surgical unit beds,SNF beds,Standardized FTE physician labor,,,,RNs required under proposed federal standards,Hospital days per decedent*,Intensive care days per decedent*,,,Medical & surgical unit days per decedent*,SNF days per decedent*,Physician visits per decedent*,,,,Home health agency visits per decedent*,Percent of deaths occurring in hospital,Percent of deaths that included an ICU admission,Percent enrolled in hospice*,Hospice days per decedent*,Percent of patient seeing 10 or more different physicians*,Number of different physicians seen per decedent*,Average co-payments per decedent during the last two years of life,,,Composite quality score,AMI score,CHF score,Pneumonia score
213,Lafayette,LA,3048,49448.6303634644,24431.5550735588,7712.65673638692,8074.22190321041,4189.51996430622,1628.55838657347,1233.60701069652,1916.7718222239,261.739466508152,9544.74911499023,3113.99941188195,2079.64935837958,862.945029163928,465.413707462989,3022.74160810178,21596.6493025352,21.9531464303798,983.76100077612,0.971219382971471,=,1.12067637056308,x,0.86663679942094,3131.73632723191,63.1613388118121,49.583121354708,0.853790787987385,=,1.03048691030323,x,0.828531424757401,60.1456066585749,12.6190408326461,10.1261067472092,2.49293408267302,47.5265658065064,39.1234780030482,20.5319303720487,7.98404542072097,8.44746756622129,0.945140701415251,53.3270185583667,12.751796811196,3.18511602328458,2.57578644901514,0.60932956635952,9.56668075919151,7.39772302020086,31.7525887619823,14.6189234432188,14.7652981241452,0.990086574636303,11.9081516295366,34.7185558697201,19.218639210084,33.5275876611254,11.7288837205446,25.3354794815988,7.1432678204222,3164.11287426886,2629.78085327148,534.332020997375,84.5494059981575,88.4988193442252,82.8049202922325,79.1300408919945
390,Corpus Christi,TX,2165,49340.2458343506,25192.2299409611,7493.51940841787,7609.14092759979,3143.77171934555,1800.95208395991,1830.66400930397,1861.17458648554,408.793158276865,10669.3582763672,3831.21542288986,1825.24468753159,953.225814659245,546.399443888428,3513.27290739808,21936.3358285019,22.8263962793814,961.007403885149,0.986495370164279,=,1.16525451221933,x,0.846592190649756,3890.71513535705,68.2047659512038,57.0446226315125,1.0607076695333,=,1.11277119603846,x,0.953212729903049,62.5380719983051,10.6496847231458,10.0188746231876,0.630810087521191,51.8883871705565,57.8288432344763,23.4333526510232,8.06891544691853,11.1805890705337,0.721689653024099,54.5754124002199,13.0661665858322,2.75628914357077,2.63832122087479,0.117967918748036,10.3098774254322,10.6255857940955,32.77856142604,13.7014052349312,17.2080303472388,0.796221587157402,9.17902465167795,36.8367059200271,20.0972916256309,23.2321963952755,11.3606222124925,27.5150700706641,7.26274893871577,3421.19952606836,2911.53717041016,509.662355658199,79.3005258049961,84.6982968095037,76.8304219860867,71.9509766767564
141,Tampa,FL,3904,49006.0827255249,24484.8603839047,7627.90902146704,7437.04674518101,2632.14960672134,4258.32333738739,671.097621468538,1527.88122758924,366.814781805653,10843.7449951172,4772.25924667822,2259.18975223161,1066.86064180596,606.988620160927,2138.44673424048,20326.7056897092,20.1969543872199,1006.42430041687,0.914108956498386,=,1.03102530705008,x,0.886601861513747,4784.59156602727,78.3070212238551,61.1004159173623,1.30440106589909,=,1.27759103708119,x,1.02098482850909,55.3341216088216,20.6360626793709,10.3360786421658,10.2999840084821,34.6980588893368,58.0251646862822,27.408516420964,12.1576298435523,10.2867556289597,1.18187213559596,51.8276461387334,12.4119228504087,5.03815068021167,2.62096770852804,2.41718295961618,7.37377215921879,10.6363055988098,42.1324475498031,22.675765132668,16.6057613466937,1.36553601242636,6.67524502391497,30.2944840146664,20.919457356023,42.0392005396228,20.2856324463516,42.0121205888961,9.47575606891272,3268.95875724417,2861.68365478516,407.275102459016,84.0618024447879,90.1949084193389,85.4642979946931,72.9049621205995
232,Ann Arbor,MI,6156,48660.0318984985,27260.4628905192,7021.05921309717,7071.18072833206,2616.47594900343,2572.0321625142,790.712910909014,1134.65919276688,193.448851356545,9509.75170898438,4181.6536654706,2066.84333320071,889.105072907016,465.755301363081,1906.39433604297,23807.527674274,19.7420582601721,1205.92935956954,1.07064443256808,=,1.00780351776079,x,1.06235433167261,4189.55955362571,63.8735946905379,65.5914165145043,1.14218024087993,=,1.04210747398381,x,1.09602921905315,54.0878308497866,15.3680848079912,6.19302369552116,9.17506107728775,38.7197460213753,56.4809381663397,23.4813714534911,8.32669443869866,10.7986288197481,0.771088124028407,47.5044061366009,11.6719002518608,3.67708588339943,1.69636511430144,1.98072076588869,7.99481436610222,10.8208691622476,31.3945747311386,12.8399735635485,16.1943386767722,0.792868039864144,6.43041236247691,27.5328212468256,18.1971531531064,40.2975783170553,13.3650908907855,37.7475510865967,9.15804088877266,2836.77550452556,2534.75048828125,302.025016244314,90.6327024337227,96.4009131432134,93.7660247667885,78.9301363625275
394,Fort Worth,TX,5702,48614.4857177734,20477.4359360808,7159.77225534038,10425.3604535427,3232.15369947446,4807.25346468758,510.388862089732,1502.14000389744,499.981042660307,9214.13153076172,3592.29320521015,1843.36145493048,897.415724861858,584.674560556622,2296.38658520261,17636.7876477814,16.3603772657907,1078.01839537403,0.793141092255748,=,0.83517359451931,x,0.949672136979192,3605.46063781637,57.9849443333704,62.1792549646621,0.982940055409966,=,0.946033242079169,x,1.03901217387424,44.8229514131252,16.2058217048626,8.23777377197187,7.96804791443968,28.6171296687975,50.4585595306359,20.2452919184058,8.6942595414944,7.89116476725296,1.10177138583827,41.7875558239956,9.62018411858714,3.87794330240188,2.13486410677433,1.74307918921113,5.74224080145359,8.59972023928962,29.1810688241464,15.0425165558655,12.3505731052046,1.2179610150663,9.79787278617418,25.9417356610637,17.1702710325943,50.9256051608059,22.274518672094,26.9141465900011,7.14303370473306,2836.10768723128,2429.57769775391,406.529989477376,90.3904456570925,94.6763990452307,88.8008134886393,84.3069447891642
122,Hudson,FL,2992,48537.1511993408,23507.824770408,9768.52200650605,6470.45461976191,2804.39001173832,3662.27799342032,498.979085975642,1426.99714353051,397.705568000049,12692.1412353516,4323.250546979,2888.07052482748,1117.12350081188,689.993013072238,3673.703649661,19645.0870628338,19.3079916609944,1017.4588537098,0.883455996729388,=,0.985645045739855,x,0.896322667625475,4377.15345864205,71.2912303693449,61.398203340929,1.19332309942546,=,1.16312733544025,x,1.02596084114366,52.8986072903955,21.9746377397618,10.3711312151935,11.6035065014068,30.9239695333455,56.5736508860557,25.461521892263,10.7867333724152,9.7613179770253,1.10504886715128,50.3531804742062,11.6853575585658,5.33802193587467,2.74713469296694,2.59088723361492,6.34733562171459,10.6889865679198,36.3817044140401,19.4201254690524,14.4078262625425,1.3478872603802,7.62606905928812,26.063118083235,19.7204844792836,51.5050248656417,17.2518754432507,37.3219954310568,8.49442137819852,3724.39839865945,3340.25067138672,384.147727272727,83.0275255505925,88.1657602622667,82.0763335791701,75.0979290120837
331,Elyria,OH,1325,48478.2305297852,25292.0065895009,7088.97158225496,9828.8270110502,1639.12511424587,2555.98798380159,842.531297352599,1078.33603688957,152.444914689506,9449.173828125,4016.52971000351,1979.90939470659,863.769885766086,380.633039038152,2208.33179861066,21525.9697692481,20.0592128953509,1073.12135733089,0.968040865241882,=,1.02399380312998,x,0.945358128421218,4020.99050716438,68.6081971274165,58.6080188012629,1.09622404151633,=,1.11935323742828,x,0.979337000029511,54.9567476584956,23.6339116104121,9.20355091356251,14.4303606797571,31.3228359777633,58.8207322290299,23.8267781060433,11.5707410194275,7.61017940541106,1.52042946730013,51.7278140334234,11.2604011833584,5.20546451534096,2.4436607286334,2.76180378347635,6.05493666231632,10.5471653877035,34.1838433958679,20.4223029609899,11.5016865111427,1.77559203523806,4.07105025817101,23.9401603946369,16.4728116573111,43.708324994238,14.5874750944392,36.1470375555379,8.41054276701932,2867.74036950453,2567.3298034668,300.410566037736,95.5671228876529,99.0910253356778,96.8407793216117,88.844847851639
123,Jacksonville,FL,5963,48442.5161743164,25185.8159331876,7883.39998575906,7561.1421229386,2186.92668692797,3085.66103681969,753.092154194267,1474.16783308745,312.310421401758,11150.2362976074,4511.80685900826,2216.54499219581,959.238924335902,585.831489400531,2876.8140326669,21236.184831605,20.1065744648289,1056.18114456802,0.955008994214597,=,1.02641154274444,x,0.930434776348163,4514.89290454167,73.0808458671839,61.7794286720077,1.23087436740067,=,1.19232518620927,x,1.03233109695012,55.0865053830928,24.2295987319719,8.89162527371759,15.3379734248331,30.8569066328545,58.2254062857613,26.4363908921409,11.9189192903384,9.81946109178041,1.21380584727969,51.8180913100504,11.9432545537009,5.70398319795086,2.42477055639029,3.27921263128519,6.23927134275436,10.4867193152572,36.7871785958558,19.718170275247,14.3737458836593,1.37181848314596,6.57080934414667,29.724897434671,20.5120226257885,41.2099872782809,16.1241818512176,36.0684670602017,8.72373186175496,3387.88243763482,2982.53915405273,405.34328358209,83.8255321803913,88.9770867300294,84.7474219105373,74.6250147775639
58,Modesto,CA,2301,48401.3884506226,30083.3050157246,7365.02035093981,5296.03406151172,1455.36033688208,1325.63419103846,1157.20012894809,1407.6360300082,311.198335569643,9139.2626953125,3274.36532780861,1780.37359076837,728.057576328574,480.517830912369,2875.94836949458,27616.4905142937,17.09750662246,1615.23496519753,1.24193667737065,=,0.872802981937074,x,1.42292900353563,3349.71641943192,53.7092216675876,62.367621712407,0.913217692183214,=,0.876274172337094,x,1.04215977260586,46.8424838971506,14.6545676746206,6.09171682432906,8.56285082967314,32.1879161547308,47.5212951846898,19.3803077197912,6.97186520892376,9.02260775445174,0.772710661779999,41.8413631822148,10.4651644808797,3.52921908109705,1.61289221048355,1.91632686555386,6.93594539165497,9.37389717568034,24.9880490814394,10.3584301179357,13.1776826860926,0.786058547977313,4.18732883341385,35.2174147640677,19.8080059277132,21.1289731136818,8.28266554650127,22.2869625116515,6.44566471882782,2833.26248504493,2455.95001220703,377.312472837896,87.1558222884591,91.5238885444331,87.3375835835069,79.7545376651371
130,Orlando,FL,16088,48383.9180679321,24323.5388452028,8487.75590166798,7324.92014991065,2177.43571077182,3714.94542568942,569.180920032044,1458.72544825957,327.415666397828,11183.7499084473,4384.10745309917,2460.67754704417,1118.92805361461,592.566665686984,2627.47018900237,20654.1745607886,19.0557803325018,1083.87975723883,0.92883550553184,=,0.972770022238038,x,0.954835659300925,4402.25955628483,70.7320900031488,62.2385052681018,1.20016765868907,=,1.15400487478273,x,1.04000224341776,52.2076173493201,21.9878602534225,9.40044877463824,12.5874114363161,30.2197570670141,62.5515416624273,25.789509572983,11.3471688362814,9.75189233897107,1.16358635245954,49.352902398534,11.7112930593968,5.26470018574356,2.49305726587772,2.77164291590452,6.44659286737442,11.8535502523449,36.0259217768062,19.0277936087999,14.566090810491,1.30630749570059,6.1643021377798,28.4388732146494,20.1646086223294,42.4105182457,18.2614090501247,37.2001232250795,8.77024991732903,3419.09993491607,3027.31164550781,391.788289408255,84.9906755319535,89.1622215617811,85.9303917144817,77.4116213605555
116,Clearwater,FL,3230,48352.7090148926,21838.7503568634,8912.83386235918,8258.30979099965,2804.04993948414,4173.53865990674,601.300269602809,1369.47313098916,394.453004687522,11622.7543334961,4500.04999164306,2397.99509967148,1085.44277082725,595.615436527264,3043.65103482705,18298.8181468918,18.2104388805816,1004.85322000693,0.822913157535283,=,0.929616563883956,x,0.885217830131095,4502.64229573868,70.5702163325996,63.8037196105166,1.22753454059205,=,1.15136388107104,x,1.06615689511656,49.8916133714565,15.0907597161166,8.42796259955184,6.66279709094191,34.8008536312678,67.394821233693,25.7874967287419,11.258303111378,9.63503201656909,1.16847594196027,45.4053812137205,11.3539075373093,3.96007713697029,2.38280691951513,1.57727021351457,7.39383038878441,13.8100134309336,35.8617368368357,19.4337901815222,14.0442290383426,1.38375628369955,7.15668356235849,30.2365621547089,20.4541693524601,36.8058331160306,18.9059986702907,39.5050311201533,8.82314119806605,3330.01362185641,2986.00216674805,344.011455108359,86.5057648716011,93.0858446451763,85.4432904970046,76.2472814987067
357,Pittsburgh,PA,16913,48304.7697372437,26718.0275339733,6529.17830174427,8001.93461238481,2782.87401257893,1730.65589255912,1138.71674354557,1217.28259200382,186.100048453875,9561.20977783203,4067.32807913591,1820.83832628529,704.586076489158,389.18089152569,2579.27640439598,22896.2493044304,22.3984243276914,1022.22589274387,1.02966348206615,=,1.14340716313688,x,0.900522154541446,4081.11970013549,73.1253058555222,55.8099505005666,1.11261678524812,=,1.19305055772414,x,0.932581421671306,61.3655461032642,15.297650040504,8.53744220651992,6.76020781879556,46.0678959546024,56.8657365016896,24.3886287003218,10.2073832391418,9.5298792558776,1.0710926093682,54.1172930945272,13.0661180087096,3.7128394354063,2.27614814043045,1.43669129163027,9.35327854752541,11.1867914837646,38.2977733882109,19.1783169624088,15.5845559267584,1.23059758985368,7.28032503849681,32.8054951419168,19.8871903960028,26.8044846041575,10.0048341330535,39.8598680019438,9.31547534129782,2832.1355728928,2505.0849609375,327.050611955301,88.4933118329105,92.1373656599745,88.8586392950993,82.1763371463446
210,Baton Rouge,LA,2940,48232.5496749878,22703.8460635711,7174.09514990213,8666.66448078793,4668.90404562576,1817.37222627368,1176.97717224312,1829.97870578441,194.711830799679,9055.2109375,3275.83577817113,1827.95487319372,862.492764329432,430.902831434192,2658.02469037152,19904.9978507296,20.9590076891117,949.710890228375,0.895144402255246,=,1.06992702581955,x,0.836640612540441,3314.30718093545,62.5044453850895,53.0251434200563,0.903564235289333,=,1.01976959350095,x,0.886047437624927,57.4219388742787,16.2946063209805,8.89158785751421,7.40301843783627,41.1273325142795,39.3830923773066,21.1253890726079,7.6536065112006,9.02521410555475,0.848024924582126,51.5858996098172,11.8574190664906,3.66729683358525,2.13322697579861,1.53406985476613,8.19012221693993,7.69528759761979,30.0011218480494,13.0885583248739,14.5224546215012,0.901263503037263,13.216104252997,34.4811289175023,19.4809976629166,30.7439565494975,12.8741628499491,33.2022040446475,8.0499396404107,2973.54116551406,2461.28436279297,512.256802721088,85.8308292866756,90.889272353146,83.6702361542446,78.840486264179
235,Flint,MI,2841,48200.5383682251,27407.882096824,7814.13974998287,5256.56323917444,2625.44465820163,2738.36494381448,790.905613638801,1292.55366688197,274.684399706908,10578.5317077637,3953.16345166241,2137.99941301622,1154.30245448842,601.548485998342,2731.51790259831,23968.3282229205,19.7886315433143,1211.21706523554,1.07787576773726,=,1.01018101649805,x,1.06701249591275,3957.87646471535,66.5838816707846,59.4419605075678,1.07901755207881,=,1.08632622090795,x,0.993272123337835,54.2154288857926,11.7055252656767,10.0754650488292,1.63006020123011,42.509903564845,40.4441462395362,24.040032233175,9.35064789321789,10.266558345754,0.910787001671805,48.6256854481077,11.5754610275609,2.97109513989831,2.57610818743706,0.39498694986105,8.60436588525772,7.2819547321977,32.664329609736,14.5195408485346,16.1193569976469,0.900751863157698,5.97529225763489,29.296225338955,18.5651358157327,40.7924260316126,15.8327910980083,35.4497389863401,8.35045143249915,3231.91130483239,2867.55755615234,364.353748680042,83.9760334810122,90.1230902365996,84.3931827354629,73.4528393853994
181,Gary,IN,2803,48085.1938552856,27119.3197969015,7519.75300610829,6959.26424535912,2416.45965795991,1674.47935784938,858.036029940085,1303.25731783127,234.624443336055,9516.87619018555,3767.79818296762,1928.19919530608,713.287094505739,475.885787635435,2631.70592977068,23533.4996119982,22.2989139776321,1055.36528082061,1.0583211614054,=,1.13832730370572,x,0.929716047361893,3784.66915870042,67.8997153841145,55.7391019577951,1.03179684546895,=,1.10779424934481,x,0.931397546141072,61.0929150072112,17.8795499259981,8.22241055230572,9.65713936172119,43.2133650126523,63.7925178412673,24.7672377967116,9.24430833174188,11.079092673271,0.834392183941592,54.400778949669,12.6873037481558,4.03735101533766,2.02678069472313,2.01057031750679,8.64995270967484,11.8783452633332,34.8471621859014,16.1237905081769,16.8218786802282,0.958501176633033,8.15415882256291,33.0973251593564,20.0837167498116,31.9356245023195,10.0850027307962,28.9367455012813,7.55478064213301,3002.90404174892,2633.60293579102,369.301105957902,83.5967420570833,87.6407560383447,83.19853172711,77.1221923082965
25,Bakersfield,CA,2746,48038.1889572144,27252.7383230752,8570.00759938442,6131.37130703916,1469.55467286703,1175.51124392998,1252.58155018636,1826.75260674581,359.671653986443,10922.821105957,3730.75402958749,2420.09540121947,1077.95536769093,651.458931884586,3042.55737557452,24069.6497560912,19.0287239423493,1264.91139547845,1.08243228183115,=,0.971388832657182,x,1.11431410928435,3794.2384227073,61.5167755401493,61.6781095789224,1.03440566964927,=,1.00365560880623,x,1.03063806008081,52.1334902530117,17.3733044756699,7.20934990334184,10.1639545535388,34.7601857087384,51.46625752264,22.2024750699837,9.9204486273531,8.21657886857321,1.20736973210308,47.0481186901053,12.0430962165846,4.43795837414941,2.12541045993567,2.31254790723324,7.60513783991337,9.79147996728364,30.5077065210965,16.5093602550841,12.0612985447323,1.36878796208012,3.19078815300044,35.6668746324334,20.2871003703909,25.0060213635744,7.36694648637435,23.9954840970895,6.74847741510557,3373.17773530853,2875.21051025391,497.967225054625,84.0992030960036,91.3481069364669,83.1943225051214,72.6209504224861
364,Providence,RI,5246,47778.2929000854,25177.4104841435,7324.03494285129,8777.14402979258,2550.75562217338,1603.56239728144,1316.46268945728,863.999763999248,164.922970386673,8989.63952636719,3589.08174753292,1743.68675641803,792.640369457333,574.051596197393,2290.17905676151,22301.3525153299,19.2652879629014,1157.59248230678,1.00291047587763,=,0.983465083722098,x,1.01977232590906,3596.32309968872,53.6107281065092,67.0821536417833,0.980448930658999,=,0.874667234812498,x,1.12093936029189,52.7816108572641,9.5332476200196,7.77576420813391,1.75748339356625,43.2483632270604,68.224585497703,19.9320454980895,6.77595547383718,8.93892832189522,0.75802772209729,45.8574021260624,11.6837012129789,2.53184277932727,2.09975589811802,0.432086878456175,9.15185841917992,12.5466308664743,25.8396781913462,9.74713194180414,13.5093818023246,0.721508362442381,7.59176493092653,31.3232250950327,16.1858320954101,26.2524626840584,7.98744762346683,34.6339416405019,8.0892063287628,2492.95996972163,2268.10293579102,224.857033930614,89.2081286914092,94.1715132338502,89.7955980753811,80.544174864693
385,Austin,TX,3836,47747.1170120239,21399.6758345423,8268.51996659244,9610.42676462305,2515.62335284716,3244.85162779766,737.765993727732,1397.62458191177,572.628889981788,10307.2218322754,3657.06322284415,2192.54291694782,972.628591203396,588.219716078369,2896.76738520166,18423.651007279,16.6434440436092,1106.96145335096,0.828526995679406,=,0.849623744077536,x,0.975169304594896,3711.172749836,59.7311968065847,62.1312303828957,1.01175985950274,=,0.974523618464215,x,1.03820968556638,45.5984768318061,11.3645985163194,7.7994118406348,3.56518667038173,34.2338782467254,45.4896312974784,22.1100275547343,9.32137159060962,8.91551696079551,1.04552227667771,40.939713116378,9.66200171185029,2.79992121648036,1.9468042626977,0.853116950020194,6.86208048462868,8.40219711142701,28.8121831452399,13.6558629691834,13.4396345955824,1.01608885807596,6.52382704230176,27.4058540307034,16.2697158149289,40.64228096198,17.2161944722935,31.2349485887935,7.97644595349279,3110.15379373274,2745.72470092773,364.429092805005,88.2652407128398,93.036585594526,87.7493231009267,80.6569443179715
393,El Paso,TX,3561,47675.9250717163,26495.1990743625,6949.98484919568,6497.18436230927,2803.93389006197,2169.64642082855,660.824585845662,1859.19165070356,239.960238409112,8311.27288818359,3332.0755274625,1993.32761696838,718.091701740783,412.030368568144,1855.74767344378,23365.197543843,19.7750094106674,1181.55177874347,1.0507524766295,=,1.00948562633052,x,1.04087908655915,3369.92832997753,61.7572813239552,54.5673037694157,0.918727971858234,=,1.00757949748127,x,0.911816858277541,54.1781079744313,18.8617712958139,9.1879814454954,9.67378981717645,35.3163366448389,35.8375074192091,22.1315777324298,9.1580766377587,9.05623118325492,1.01124589825976,49.9430144690487,12.1749317825532,4.484159952218,2.3497067913413,2.13445314764977,7.69077181816101,7.0252217240036,32.6391721930881,16.6994699965308,14.1496245002014,1.18020587728622,7.88959507524596,34.2472453653784,22.4542951615533,33.5067180520305,13.9317288553404,30.3555670530596,7.5234835649554,2842.05868784801,2338.19348144531,503.865206402696,77.2573805465874,84.0058387559988,73.4251620269857,68.5647625439695
112,Wilmington,DE,3669,47607.8054275513,27322.3918888429,7313.49646341684,6148.53193234393,2149.22922456078,2544.86305551512,674.010021807109,1149.28926152327,305.993579541348,9892.81091308594,4230.86001180971,2068.19511327282,1023.52003024236,485.954874251735,2084.28088350931,23626.0742670536,21.3103787544423,1108.66515040839,1.0624843210744,=,1.08786401045473,x,0.976670163608284,4234.65667183066,70.6964051625204,59.8991796272501,1.15447485960417,=,1.15342267114589,x,1.00091223146953,58.3845993272392,15.0066621677636,6.81556979679082,8.19109235316107,43.377937111136,49.6322002711052,24.1948683474532,9.92661758350295,9.58867633362197,1.03524378528619,50.9478998816993,12.8929540620652,3.61276651327326,1.84771094843745,1.76505556330085,9.28018754720688,8.99644158026782,36.414450003234,17.8138947298194,15.8981456689528,1.12050141574736,5.98165071505404,32.2330820775139,19.4272938394162,35.2162295726248,14.249877204549,41.6951808192368,9.70884890308082,2966.0585828372,2655.4287109375,310.6298718997,87.9590590706375,94.3141203165518,83.4264872682278,80.3890048623867
417,Victoria,TX,945,47509.2980957031,24218.7173575917,7008.11023056703,9048.13451818063,2552.33173812396,1858.19219708778,725.828062865012,1530.63299923899,567.350992047999,8365.33297729492,3584.9634687706,1659.18148388616,643.381991120686,551.708810582237,1926.09722293524,21031.7920904566,22.1771284693431,948.355064071086,0.945817281687289,=,1.13211032966743,x,0.835446207760625,3888.56742213211,66.4143897182313,58.5500738413721,1.06012214841176,=,1.0835609337593,x,0.978368742710001,60.759256080392,14.6997811187737,7.56968610907254,7.13009499523738,46.0594748797482,61.806754250966,22.2504039365316,8.0742785718275,10.500472193996,0.768944331517228,53.0292303186573,12.2380577885428,3.3998614492411,1.89347308129072,1.50638836249709,8.83819633722305,10.945433483082,31.9525681747369,14.0303323024376,16.6124633653416,0.84456663613832,7.29782618977285,34.5890850741805,19.7069832538184,27.9704892009271,12.6252676954761,20.3052583025878,6.31738936010114,2720.53439379495,2314.40740966797,406.126984126984,91.3116183082417,94.97929645818,88.5020942918371,87.0718374026141
346,Allentown,PA,6700,47156.6680221558,26244.2243598907,7152.54726346849,7737.2281185807,1856.93382335698,1934.99344352643,761.361207712392,1097.96291716812,371.416888451982,9719.80569458008,4133.39215234605,1971.39162118514,907.709024431732,536.381162250278,2170.93173436688,22566.8300862061,21.0679030056672,1071.14742649687,1.01484922429028,=,1.07548597421521,x,0.943619209009975,4138.67022893516,72.267633977567,57.2686554290662,1.12830651969533,=,1.17905750975849,x,0.956956306504886,57.7202822073074,14.352027898109,7.02415541426776,7.32787245348708,43.3682542957672,60.6940686538419,24.1036485343413,10.0766386781908,9.22908000694717,1.0918356619084,50.3902962967141,12.2917901352261,3.50207236080971,1.91820794716477,1.58386440947652,8.78971776366234,11.4485513651504,36.4118439487962,18.7440127771318,14.2497112549228,1.31539597131531,5.55436867921103,29.9410982080174,18.2305944020223,30.049351796019,10.3247221155363,42.4529167152158,9.69229258082901,2844.26460850047,2557.29833984375,286.966268656716,87.6952480113039,91.4507250423952,85.8157746949183,82.6891018370754
87,Santa Cruz,CA,843,46537.754447937,25099.5208133192,7328.1943765154,6590.848243277,2798.31266361867,2965.26905096486,633.282149708559,882.641363076771,239.685787456532,8454.52066040039,3250.27645082962,2040.5089222904,700.071781849987,500.86114599758,1962.8023594328,22685.5479526134,14.8243508322847,1530.28946827192,1.02018806604044,=,0.756761666914786,x,1.34809691167312,3255.98625748049,49.9764221461884,65.1504473040558,0.887664471710969,=,0.815372976796435,x,1.08866064607459,40.6146598144787,14.404622276785,4.17679087960557,10.227831381641,26.2100374861939,44.3289027683999,19.1350675369983,8.29962279559601,7.12945008557458,1.16413225367678,36.1505458156948,8.42554503217713,2.98768601133024,1.0677232183516,1.91996278986335,5.43785901367664,8.48908821673573,21.962724781718,11.2108993494459,9.39869989159189,1.19281384433556,4.8782469460231,26.5882122309783,15.7255640736467,36.4235972928593,12.5152908993273,21.3863075454637,6.31197787713725,2342.57650364053,2120.50651550293,222.069988137604,89.9671295407428,97.9180762039026,90.2307112221332,76.5398306478829
416,Tyler,TX,3416,46521.4947128296,22955.1904965289,7638.29874110443,8019.98944710092,3088.39214948986,2125.32782795914,285.752267374974,1928.91373066849,479.630052602879,8630.15209960938,3172.90075009248,2037.2765189623,823.417768475856,638.640774840295,1957.91628723845,20247.8712071905,18.3191168544745,1105.28642663496,0.910563703880903,=,0.935164417251066,x,0.973693702501549,3207.98513846776,54.6117292055259,58.7416876399358,0.874578148679943,=,0.89099872095799,x,0.981570599494923,50.1893612451357,17.0689073798938,8.46123193224816,8.60767542091134,33.1204538475977,55.2434783056046,20.4668374892162,8.01663997590362,8.36629552396215,0.958206646292009,46.1398637049819,10.713078988931,4.16017864777838,2.19668220728636,1.96349643915892,6.55290032923222,10.2453707516576,26.013474599108,12.0423841071141,12.0712980261335,0.997604738201576,9.02626951362124,31.027476605094,17.9393847305804,33.5607114285669,11.952273280097,23.6893111661537,6.81292644918028,2755.69759617254,2236.00350952148,519.694086651054,85.0138509905613,91.4535740121233,86.3766654245179,73.3724363319868
137,Sarasota,FL,3758,46505.3371887207,21417.486884876,10582.4737780741,7046.32890440921,2318.83585681647,3073.29894710596,461.827660205491,1257.8628673437,347.222289889774,12279.7727966309,4115.49922564759,3080.7251244615,1306.9149748296,684.301508416151,3092.33196327606,18307.6269154729,15.3792535070621,1190.41063384943,0.823309295226192,=,0.78508864580856,x,1.04868322783889,4124.76272887125,64.8751879090737,63.5799735124057,1.12451498228676,=,1.05844862064989,x,1.06241810924777,42.1349411152386,17.3253714759797,10.9370898914664,6.38828157153848,24.8095696103083,54.7777810961601,24.4182635828953,11.605642042821,7.55191582208545,1.53678117132616,41.4010936164693,9.38005910375315,4.17520295507024,2.78196668624878,1.39323626458645,5.2048561424017,10.1494024258409,32.0653342949056,18.464987726072,11.1767781081237,1.65208502373784,6.69946641855175,24.05624150418,16.4692735456534,45.383561882868,14.7285532127061,33.6021246285495,8.20582315308493,3524.20064042413,3208.03326416016,316.16737626397,87.4107355543919,91.931044931568,86.3816536790347,80.5629411760032
