HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (2005),Total Medicare reimbursements per enrollee (Part A and B) (2005),Total Part A Medicare reimbursements per enrollee (2005),Total Part B Medicare reimbursements per enrollee (2005),Medicare reimbursements for inpatient short stays per enrollee (2005),Medicare reimbursements for inpatient long stays per enrollee (2005),Medicare reimbursements for outpatient services per enrollee (2005),Part B Medicare reimbursements for professional & laboratory services per enrollee (2005),Part B Medicare reimbursements for medical & surgical services per enrollee (2005),Part B Medicare reimbursements for medical care per enrollee (2005),Part B Medicare reimbursements for surgical services per enrollee (2005),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2005)",Part B Medicare reimbursements for durable medical equipment per enrollee (2005),Medicare reimbursements for home health services per enrollee (2005),Medicare reimbursements for hospice services per enrollee (2005),Medicare reimbursements for skilled nursing facilities per enrollee (2005)
49022,VA-Hampton,440.249130249023,5952.63328992347,2812.37039702233,3149.80979015623,2214.45856362015,,932.778712268863,1713.01481966342,1296.91592879949,895.039319540855,404.400646818682,415.524368723395,139.357720999134,202.452525582954,,
49023,VA-Harrisonburg,809.331939697266,5776.76191091356,3159.36620863503,2617.30239866083,2262.73386342909,,1063.13987125735,1172.30027781578,894.657313378518,607.370942344804,286.62430648051,277.787432973516,174.774183942187,134.813139006663,,595.169357692137
49024,VA-Hopewell,187.082901000977,8500.01394944856,5540.24432175001,2970.99300058988,4072.93049771305,,718.81202171581,1600.39098245569,1227.606738313,915.527762170892,311.091153954404,372.83171283201,241.243060710268,,,
49025,VA-Hot Springs,46.6666564941406,4459.79857730077,,2748.1842138102,,,1397.28057713486,755.905569118208,595.272755521842,393.471269453055,201.672752528413,161.365328304607,,,,
49026,VA-Kilmarnock,382.332748413086,6142.91566859516,3568.86635354862,2570.8572043934,2950.79479206251,,669.801359992998,1396.86777064248,1077.3713093054,699.129214961103,379.075112006444,319.166438349843,166.741230365225,269.729372609614,,
49027,VA-Lebanon,191.916275024414,8961.71792966985,4152.42052187825,4796.99830821484,3103.07633247363,,1224.589955407,1657.37189438087,1333.36243469093,1045.27629180308,290.185285180264,324.890561106921,331.969967432443,,,
49028,VA-Leesburg,436.832702636719,6595.74117742419,3429.8812753265,3163.48837511925,2117.99525336926,,673.615580460637,2018.26254437047,1472.01582770016,1079.46967327187,392.587712018333,546.22647631672,136.280112753242,244.944686925051,,
49029,VA-Lexington,249.582778930664,4930.91216914485,2669.99955419391,2259.95457795671,1399.25259361644,,831.971968976024,971.539258692551,769.67682609213,471.356831910796,297.060622623371,202.324956127493,107.350177744907,,,
49030,VA-Low Moor,185.333053588867,7859.12031345163,5145.62439473469,2717.28563811774,3490.01545556272,,747.675149837606,1309.12523259848,1043.89142279591,778.410395793678,265.477862590451,265.637977673519,186.58377321847,,,
49031,VA-Luray,140.916519165039,6157.61425059469,3224.44176459457,2931.61051307549,2397.69328318301,,1428.76253466815,1015.22610204515,738.679923459382,461.116536954796,276.527344681145,276.471719547016,219.034327655879,,,
49032,VA-Lynchburg,1506.91348266602,5784.01424296026,3171.09091873172,2612.83811795674,2208.87671004191,72.9108440577075,652.342787639549,1461.35444092638,1139.10240561061,831.109080360373,307.813263142463,322.257661231287,204.79090123107,177.933284841439,129.119814930713,640.115831680279
