year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit
2011,KNREP,ALL,374,TN- JACKSON,49787,308,310,408.721860405553,0.758462000766005,6.22652499648503,6.2050300876263,0.32006924781717,5.55125261548773,6.93580369247253,1000,hrr,11,26
2011,KNREP,ALL,375,TN- JOHNSON CITY,30488,190,199,255.670386375363,0.778345911785957,6.52715822618735,6.38916725786967,0.411327496591888,5.56026934038711,7.34163324652754,1000,hrr,11,26
2011,KNREP,ALL,376,TN- KINGSPORT,52297,299,313,447.563068489045,0.699342778787972,5.98504694341932,5.74145824481222,0.294759183820382,5.13922412177701,6.41426448736467,1000,hrr,11,26
2011,KNREP,ALL,377,TN- KNOXVILLE,148015,1177,1209,1239.81119980835,0.975148474370036,8.16809107185083,8.00069392143826,0.209107305216039,7.56184502015228,8.46501125769568,1000,hrr,11,26
2011,KNREP,ALL,379,TN- MEMPHIS,187767,1121,1156,1459.7571975462,0.79191251938555,6.15656638280422,6.44016957497553,0.172201302278327,6.07900716266855,6.8227891569441,1000,hrr,11,26
2011,KNREP,ALL,380,TN- NASHVILLE,273394,2218,2296,2279.28649028185,1.00733278146008,8.39813602346796,8.25387180399136,0.156626067918277,7.92263504011162,8.59895721711343,1000,hrr,11,26
2011,KNREP,ALL,382,TX- ABILENE,44136,365,379,372.455403993831,1.01757148892456,8.58709443538155,8.35031362745306,0.389590389272238,7.55036434015324,9.23501629001034,1000,hrr,11,26
2011,KNREP,ALL,383,TX- AMARILLO,53013,559,595,447.395906734892,1.32991829170349,11.2236621206119,10.914776766472,0.4064904034397,10.0717331184148,11.8283864813791,1000,hrr,11,26
2011,KNREP,ALL,385,TX- AUSTIN,139342,1170,1219,1157.19049274924,1.05341342470237,8.74825967762771,8.63371836795153,0.224708621109506,8.16207222829868,9.13261862577772,1000,hrr,11,26
2011,KNREP,ALL,386,TX- BEAUMONT,51067,455,473,410.242304132708,1.15297714359315,9.26234162962383,9.41479452364317,0.393191869810185,8.60324424990492,10.3028989236707,1000,hrr,11,26
