year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit,nbad
2013,DEFIB,ALL,5221,CA- SANTA CRUZ,21205,19,21,34.5395205801913,0.607999174488938,-0.990332468757368,-1.0446129418122,-0.183947417159997,-0.681065012098793,-1.6022203149723,1000,hsa,11,26,0
2013,DEFIB,ALL,5222,CA- SANTA MARIA,16486,21,22,28.3409757530977,0.776261205388998,-1.33446560718185,-1.33482040414121,-0.229650995639097,-0.878867408225849,-2.02732004240374,1000,hsa,11,26,0
2013,DEFIB,ALL,5223,CA- SANTA MONICA,30142,30,32,51.9157429593615,0.616383358416904,1.0616415632672,1.06025005752559,0.151256280142675,0.74973679748002,1.49936642867388,1000,hsa,11,26,0
2013,DEFIB,ALL,5224,CA- SANTA PAULA,3238,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5225,CA- SANTA ROSA,24041,25,25,39.3243035626344,0.635739167260289,-1.03989018759619,-1.09267331118212,-0.176349874768289,-0.738294311993907,-1.6171531401146,1000,hsa,11,26,0
2013,DEFIB,ALL,5226,CA- SEBASTOPOL,3848,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5227,CA- SELMA,3417,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5229,CA- SIMI VALLEY,8383,13,13,14.0436399402384,0.925685937215741,-1.55075748538709,-1.59147058810328,-0.356171379914739,-0.924063288870976,-2.74091467900685,1000,hsa,11,26,0
2013,DEFIB,ALL,5230,CA- SOLVANG,3509,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5231,CA- SONOMA,4997,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5232,CA- SONORA,12065,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5233,CA- SOUTH EL MONTE,1373,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5234,CA- SOUTH LAGUNA,11300,21,21,19.3856741235437,1.08327416762339,-1.85840707964602,-1.86157223980442,-0.327813407205232,-1.21369458780143,-2.85529097586897,1000,hsa,11,26,0
2013,DEFIB,ALL,5235,CA- SOUTH LAKE TAHOE,4302,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5236,CA- SOUTH SAN FRANCISCO,3114,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5237,CA- STANFORD,13513,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5239,CA- STOCKTON,21944,31,31,37.4779542558725,0.827152938721102,1.41268683922712,1.42588409690892,0.206666693783053,1.00272345810994,2.02762331066842,1000,hsa,11,26,0
2013,DEFIB,ALL,5241,CA- SUSANVILLE,2580,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5244,CA- TARZANA,7013,18,18,11.8601981223714,1.51768122372656,-2.56666191358905,-2.60906255196389,-0.496245136732028,-1.64374082095505,-4.14128998518463,1000,hsa,11,26,0
2013,DEFIB,ALL,5246,CA- TEMPLETON,12813,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5247,CA- THOUSAND OAKS,21123,28,28,35.9605194281138,0.778631689566468,1.325569284666,1.33828930595653,0.20410013770512,0.923979180354084,1.9383751328155,1000,hsa,11,26,0
2013,DEFIB,ALL,5248,CA- TORRANCE,31335,30,30,54.6447410089086,0.549000680506641,0.957395883197702,0.944751819315402,0.139198203419635,0.660516735207261,1.35129960003162,1000,hsa,11,26,0
2013,DEFIB,ALL,5249,CA- TRACY,4598,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5250,CA- TRUCKEE,2885,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5251,CA- TULARE,5727,14,14,9.63663191835085,1.45278974216501,-2.44456085210407,-2.49962717630727,-0.539067742671511,-1.48035729378421,-4.22069458958914,1000,hsa,11,26,0
2013,DEFIB,ALL,5252,CA- TURLOCK,8132,16,16,13.8381731807404,1.15622198038889,-1.96753566158387,-1.98731395392798,-0.40091154462635,-1.21743761280057,-3.24404035981088,1000,hsa,11,26,0
2013,DEFIB,ALL,5253,CA- UKIAH,5207,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5254,CA- UPLAND,12909,19,19,21.6546595393126,0.877409315325725,-1.47184135099543,-1.51127840341216,-0.27977407889446,-0.963937079281002,-2.3694102672382,1000,hsa,11,26,0
2013,DEFIB,ALL,5255,CA- VACAVILLE,5828,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5256,CA- VALENCIA,11371,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5257,CA- VALLEJO,7466,13,13,12.8769380061553,1.00955677458304,-1.74122689525851,-1.74581738499493,-0.390722281081892,-1.01367104681905,-3.00677261258959,1000,hsa,11,26,0
2013,DEFIB,ALL,5258,CA- VAN NUYS,12413,14,14,20.6729006412946,0.677215077018976,-1.12784983485056,-1.16508825943136,-0.251261590796219,-0.690002349764646,-1.9672841008843,1000,hsa,11,26,0
2013,DEFIB,ALL,5259,CA- VENTURA,10701,18,18,17.8430463906647,1.00879634597696,-1.68208578637511,-1.73366859854765,-0.329741119392706,-1.0922376066834,-2.75178843064812,1000,hsa,11,26,0
2013,DEFIB,ALL,5260,CA- VICTORVILLE,9083,15,15,15.9709785628589,0.939203564826206,-1.65143674997248,-1.62129482710093,-0.337797829684699,-0.977380092282784,-2.68943161124231,1000,hsa,11,26,0
2013,DEFIB,ALL,5261,CA- VISALIA,17976,36,37,30.3022528570556,1.22103132643436,2.05829995549622,2.09865427994734,0.278439407848227,1.52046289384473,2.89671639115387,1000,hsa,11,26,0
2013,DEFIB,ALL,5262,CA- WALNUT CREEK,25494,22,22,42.7444651161578,0.514686520002418,-0.862948144661489,-0.884627408032227,-0.152196239695966,-0.582454137271822,-1.34356612987128,1000,hsa,11,26,0
2013,DEFIB,ALL,5263,CA- WATSONVILLE,8950,15,16,15.2812289244995,1.04703620887114,-1.7877094972067,-1.7993151915483,-0.3629865215574,-1.10226725392621,-2.93715988296358,1000,hsa,11,26,0
2013,DEFIB,ALL,5264,CA- WEAVERVILLE,1012,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5265,CA- WEST COVINA,10794,14,14,18.1954293833344,0.769423996821031,-1.2970168612192,-1.32375533720847,-0.285480110139841,-0.783969237283481,-2.2352001959412,1000,hsa,11,26,0
2013,DEFIB,ALL,5270,CA- WHITTIER,15855,18,18,26.5886809318471,0.676979803779591,-1.1352885525071,-1.16392494009023,-0.221376880572719,-0.73329022305854,-1.84745578703277,1000,hsa,11,26,0
2013,DEFIB,ALL,5271,CA- WILDOMAR/MURRIETA,13112,25,26,22.4555213500317,1.15784441584401,1.98291641244661,1.9923860731162,0.315318243991911,1.35648866709757,2.92638070677065,1000,hsa,11,26,0
2013,DEFIB,ALL,5272,CA- WILLITS,3544,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5274,CA- WOODLAND,4625,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5277,CA- YREKA,4304,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5278,CA- YUBA CITY,10946,17,18,18.8696166649765,0.953914449857873,-1.64443632377124,-1.64050528500706,-0.312025144809991,-1.03353787534811,-2.60392739765793,1000,hsa,11,26,0
2013,DEFIB,ALL,5282,CA- IRVINE,6256,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5285,CA- MORGAN HILL,2753,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5287,CA- PLEASANTON,6045,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5288,CA- SAN RAMON,3079,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5289,CA- SUN CITY,6219,18,18,10.6958808765699,1.68289084440257,-2.89435600578871,-2.89758629897316,-0.551114802257004,-1.82552605504445,-4.5992257063636,1000,hsa,11,26,0
2013,DEFIB,ALL,6002,CO- ALAMOSA,3991,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6003,CO- ASPEN,1629,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6004,CO- AURORA,18610,19,19,31.8198499447452,0.59711155247411,-1.02095647501343,-1.03082300511489,-0.190833650720392,-0.657483379464513,-1.61615654640505,1000,hsa,11,26,0
2013,DEFIB,ALL,6005,CO- BOULDER,11526,17,18,19.112088553616,0.941812295893448,-1.56168662155128,-1.61828083571863,-0.30779493947273,-1.01954095316679,-2.56863920484985,1000,hsa,11,26,0
2013,DEFIB,ALL,6006,CO- BRIGHTON,5352,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6007,CO- BRUSH,1139,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6008,CO- BURLINGTON,1018,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6009,CO- CANON CITY,5431,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6010,CO- CHEYENNE WELLS,295,0,0,0.49666728928302,0,0,-0.00000109834901004585,-0.0015728474714816,0,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6011,CO- COLORADO SPRINGS,50565,45,45,86.3830066886086,0.52093579194592,0.889943636902996,0.896907432081127,0.107905527957889,0.669620627860753,1.20134133903898,1000,hsa,11,26,0
2013,DEFIB,ALL,6012,CO- CORTEZ,4462,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6013,CO- CRAIG,1473,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6015,CO- DELTA,4912,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6016,CO- DENVER,86198,60,60,144.289930565814,0.415829432897487,0.696071834613332,0.715524710994253,0.0745551013896348,0.555524408846007,0.921607770767334,1000,hsa,11,26,0
2013,DEFIB,ALL,6017,CO- DURANGO,8122,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6018,CO- EADS,206,0,0,0.328035238587916,0,0,-0.0000011631011370167,-0.00199148271604357,0,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6020,CO- ESTES PARK,2224,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6022,CO- FORT COLLINS,15796,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,6023,CO- FORT MORGAN,2257,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
